,LE,T_air,P_air,RH_air,wind_speed,wind_dir,Enet,ground_heat_flux
2015-06-08 22:30:00,5.24623568201,3.199328,1001.049,84.47004,2.05112864415,312.532934377,53.0362958581,9.466185
2015-06-08 23:00:00,8.83353200423,3.172194,1001.05,83.21091,1.75788251877,300.559484613,43.6624467264,8.332356
2015-06-09 00:00:00,5.64215486013,2.913661,1000.993,85.08701,2.43074585656,318.027496091,31.549629728,7.03733
2015-06-09 01:00:00,7.42752575707,2.836778,1000.796,84.98399,1.52189891504,302.858949968,36.3322903251,5.400775
2015-06-09 01:30:00,6.23105881875,2.922072,1000.71,84.30759,1.63361620793,291.407234349,35.2084794221,5.161019
2015-06-09 02:00:00,4.71506302244,2.965294,1000.628,82.70084,0.994220636188,313.819180713,32.4412908977,5.250373
2015-06-09 04:00:00,6.24742240289,3.130339,1000.167,77.64778,4.02039982854,87.4447382173,55.5957836472,5.746834
2015-06-09 05:00:00,14.6074163712,3.014139,999.9794,76.2782,4.21909967052,86.8170056365,67.6574578328,5.262479
2015-06-09 08:00:00,25.3428453807,3.198589,999.6273,69.53832,2.93482687744,151.674540452,159.69897672,7.087025
2015-06-09 09:30:00,19.3192601425,3.531555,999.5029,74.84002,5.37933649173,82.1849834423,179.03196687,8.962827
2015-06-09 10:00:00,29.6413999881,3.814233,999.4994,73.85355,5.1430328095,82.827979813,196.700570502,8.625238
2015-06-09 11:30:00,95.2221240669,5.224844,999.4295,66.62135,2.76552352195,108.559210225,425.229878795,10.49899
2015-06-09 12:30:00,38.8273040351,4.325605,998.9695,75.20329,6.67581796635,102.820005945,203.088988747,12.36851
2015-06-09 13:00:00,45.5593640657,4.590222,998.8115,74.76034,7.52227039892,106.027498938,277.423221696,11.04973
2015-06-09 13:30:00,43.809989613,4.619339,998.8583,76.09457,8.22356055297,94.6548967594,289.309673074,10.05297
2015-06-09 14:00:00,39.1935132401,4.852278,999.0187,75.97018,7.20099499957,91.6276814255,354.560066946,9.45381
2015-06-09 14:30:00,45.0009902053,4.729589,998.9313,75.85921,8.5056026481,84.5376091718,312.76438575,9.604737
2015-06-09 15:00:00,20.4227629702,4.061995,998.8366,77.37608,8.52134477329,90.4828535956,174.221767738,10.11019
2015-06-09 15:30:00,21.0018363854,3.853105,998.7979,77.78905,8.07168143341,89.3724512296,170.312312032,9.044881
2015-06-09 16:00:00,16.7887402194,3.960544,998.8271,77.3047,6.88239001321,94.1005437405,154.324431827,7.892518
2015-06-09 16:30:00,16.1056815194,4.009428,998.6152,77.93829,7.51173182884,90.4044283622,163.323543356,7.242388
2015-06-09 17:00:00,16.474286442,3.987589,998.5156,78.21684,7.45517675714,91.1662727938,163.851850789,6.980606
2015-06-09 17:30:00,12.6583221048,3.823094,998.4626,78.6181,7.26069163144,90.7763280573,150.794834258,6.817266
2015-06-09 18:00:00,14.7790741375,3.859033,998.5313,78.04711,6.45585520384,92.0469576132,138.091423951,6.687052
2015-06-09 18:30:00,22.296105395,4.2546,998.3877,76.92815,5.83167003888,96.1206495857,200.229356218,6.437012
2015-06-09 19:00:00,26.3125667721,4.341683,998.2172,76.40874,6.62104085043,98.6982010721,162.999972244,6.601682
2015-06-09 19:30:00,12.5025930985,4.046716,998.0907,77.51224,6.79254527666,100.123650371,121.698085286,7.547307
2015-06-09 20:00:00,11.1848933987,3.969494,997.9815,78.15834,6.66874339793,99.4539166426,115.380796514,7.366575
2015-06-09 22:00:00,2.84743256342,2.940361,997.6959,84.82338,4.69684718576,119.663105335,29.6712900759,5.355867
2015-06-09 22:30:00,1.2566468353,2.846977,997.609,86.05815,4.77401661113,116.845286005,19.5815318648,4.839026
2015-06-10 00:30:00,1.46995541223,2.533961,997.6417,88.63599,4.02023602403,102.557314653,8.71150627935,3.216507
