,u_m/s,v_m/s,w_m/s,T_degC,CO2_ppm,H2O_ppt
2018-08-13 09:30:18.800,-1.29582,1.32031,-0.13749,9.61215385611,395.31,5.98716
2018-08-13 09:30:18.900,-1.37847,1.35296,-0.185446,9.42428652054,395.378,5.98527
2018-08-13 09:30:19.000,-1.52234,1.46214,-0.201261,9.37062160575,395.379,5.9749
2018-08-13 09:30:19.100,-1.56927,1.67029,-0.0698928,9.12919255654,395.329,5.9629
2018-08-13 09:30:19.200,-1.44173,1.72028,-0.277786,9.10237347707,395.543,5.92125
2018-08-13 09:30:19.300,-1.43867,1.56009,0.134429,9.29013378922,395.454,5.89767
2018-08-13 09:30:19.400,-1.64784,1.72028,0.055098,9.53330906842,395.413,5.92116
2018-08-13 09:30:19.500,-1.50703,1.68559,-0.0227024,9.10572579232,395.46,5.91994
2018-08-13 09:30:19.600,-1.63253,1.68559,0.0380074,9.18115814869,395.544,5.88911
2018-08-13 09:30:19.700,-1.48969,1.75293,0.018366,9.00013742485,395.508,5.87425
2018-08-13 09:30:19.800,-1.69579,1.87741,0.0545878,9.18283453774,395.628,5.83307
2018-08-13 09:30:19.900,-1.7111,1.76722,0.142592,9.40080749323,395.579,5.8169
2018-08-13 09:30:20.000,-1.94782,1.92843,0.151009,9.40080749323,395.556,5.82287
2018-08-13 09:30:20.100,-1.68049,1.99067,0.254318,9.26498369814,395.468,5.86527
2018-08-13 09:30:20.200,-1.63253,1.75395,0.0663217,9.18283453774,395.492,5.90148
2018-08-13 09:30:20.300,-1.52132,1.71926,0.0943808,9.10404963221,395.301,5.9066
2018-08-13 09:30:20.400,-1.52234,1.86415,-0.177793,8.91802679567,395.366,5.91534
2018-08-13 09:30:20.500,-1.5856,1.92843,-0.0535675,8.99678573668,395.291,5.89661
2018-08-13 09:30:20.600,-1.66416,1.91006,-0.113767,8.88954222657,395.394,5.88169
2018-08-13 09:30:20.700,-1.53458,2.0723,-0.105604,8.86273453426,395.415,5.85033
2018-08-13 09:30:20.800,-1.63253,1.92435,-0.102033,8.8610590958,395.54,5.78755
2018-08-13 09:30:20.900,-1.69579,1.87843,-0.109431,8.70359010193,395.683,5.76364
2018-08-13 09:30:21.000,-1.72844,1.89272,-0.0778004,8.8644099777,395.688,5.75229
2018-08-13 09:30:21.100,-1.69477,1.99271,-0.00586692,9.12584010193,395.636,5.74318
2018-08-13 09:30:21.200,-1.69579,1.9723,0.0464252,9.18283453774,395.621,5.76382
2018-08-13 09:30:21.300,-1.80599,2.03965,0.0341812,9.05041513627,395.585,5.78583
2018-08-13 09:30:21.400,-1.79273,2.05495,-0.0976969,8.72704014373,395.382,5.795
2018-08-13 09:30:21.500,-1.76007,1.97434,-0.0902995,8.7320652796,395.535,5.77076
2018-08-13 09:30:21.600,-1.82231,1.89476,-0.157897,8.91467559524,395.741,5.73913
2018-08-13 09:30:21.700,-1.82334,1.94271,-0.165549,8.59472768604,395.563,5.75054
2018-08-13 09:30:21.800,-1.87333,1.78252,-0.105604,8.91802679567,395.633,5.71673
2018-08-13 09:30:21.900,-1.82231,1.70498,-0.0173457,8.96662143902,395.483,5.7873
2018-08-13 09:30:22.000,-1.92027,1.62437,-0.181619,8.94148575609,395.471,5.82214
2018-08-13 09:30:22.100,-1.71314,1.51009,-0.257634,8.61984791567,395.71,5.8155
2018-08-13 09:30:22.200,-1.75905,1.51213,-0.206107,8.64831886298,395.66,5.77866
2018-08-13 09:30:22.300,-1.7611,1.57437,-0.237483,8.73039022934,395.737,5.71354
2018-08-13 09:30:22.400,-1.96924,1.60805,-0.233401,8.81079825609,395.717,5.69367
2018-08-13 09:30:22.500,-1.95292,1.606,-0.209934,8.80577241848,395.672,5.68242
2018-08-13 09:30:22.600,-2.01312,1.57641,-0.312987,8.81079825609,395.723,5.6833
2018-08-13 09:30:22.700,-1.95088,1.54172,-0.26146,8.78231910187,395.706,5.68321
2018-08-13 09:30:22.800,-1.74579,1.47744,-0.380839,8.67511636258,395.711,5.6723
2018-08-13 09:30:22.900,-1.77742,1.54274,-0.417316,8.78064390229,395.779,5.65883
2018-08-13 09:30:23.000,-1.77538,1.41418,-0.5043,8.83425275721,395.734,5.64864
2018-08-13 09:30:23.100,-1.79273,1.51111,-0.492821,8.59305304388,395.632,5.64355
2018-08-13 09:30:23.200,-1.74579,1.5907,-0.460935,8.56625944617,395.807,5.64479
2018-08-13 09:30:23.300,-1.82334,1.51213,-0.481087,8.78064390229,395.702,5.66432
2018-08-13 09:30:23.400,-1.71314,1.54274,-0.424714,8.72704014373,395.717,5.65464
2018-08-13 09:30:23.500,-1.85497,1.3999,-0.46068,8.91467559524,395.743,5.66744
2018-08-13 09:30:23.600,-1.99985,1.51009,-0.437213,8.78064390229,395.636,5.67801
2018-08-13 09:30:23.700,-1.87231,1.3499,-0.44512,8.8644099777,395.804,5.68399
2018-08-13 09:30:23.800,-1.85599,1.31929,-0.473179,8.80744769271,395.535,5.67716
2018-08-13 09:30:23.900,-1.96516,1.29072,-0.480322,8.6533432971,395.774,5.66143
2018-08-13 09:30:24.000,-1.73049,1.14583,-0.560163,8.88619119535,395.686,5.66594
2018-08-13 09:30:24.100,-1.92027,1.17644,-0.373442,8.88786670847,395.856,5.65897
2018-08-13 09:30:24.200,-1.79375,1.22644,-0.277276,8.8610590958,395.841,5.67017
2018-08-13 09:30:24.300,-1.76212,1.17746,-0.381094,8.72369007804,395.691,5.67375
2018-08-13 09:30:24.400,-1.82334,1.12849,-0.413235,8.83592811604,395.687,5.67526
2018-08-13 09:30:24.500,-1.85497,1.11216,-0.445375,8.67511636258,395.791,5.68211
2018-08-13 09:30:24.600,-1.90496,1.30297,-0.429305,8.80744769271,395.808,5.68084
2018-08-13 09:30:24.700,-1.7764,1.25603,-0.456854,8.93981008371,395.758,5.68508
2018-08-13 09:30:24.800,-1.92027,1.35194,-0.424969,8.7253651084,395.664,5.69335
2018-08-13 09:30:24.900,-1.87231,1.31929,-0.456599,8.70359010193,395.704,5.69332
2018-08-13 09:30:25.000,-1.85599,1.28766,-0.460935,8.78064390229,395.572,5.68225
2018-08-13 09:30:25.100,-1.85803,1.2397,-0.409409,8.83592811604,395.896,5.67818
2018-08-13 09:30:25.200,-1.74579,1.25501,-0.44461,8.80744769271,395.69,5.66983
2018-08-13 09:30:25.300,-1.87129,1.42847,-0.317579,8.83425275721,395.901,5.67413
2018-08-13 09:30:25.400,-1.83966,1.41418,-0.249471,9.1560129101,395.651,5.70325
